period_covered,utilization_type,state_code,number_of_prescriptions,total_amount_reimbursed,Prescription
2016,FFSU,ID,25,4045.32,Buprenorphine
2016,FFSU,ID,25,8008.15,Buprenorphine
2016,FFSU,ID,25,11172.49,Buprenorphine
2016,FFSU,ID,28,13661.48,Buprenorphine
2016,FFSU,ID,31,5251.89,Buprenorphine
2016,FFSU,ID,33,15743.81,Buprenorphine
2016,FFSU,ID,40,19382.56,Buprenorphine
2016,FFSU,ID,43,13167.96,Buprenorphine
2016,FFSU,ID,47,6441.94,Buprenorphine
2016,FFSU,ID,47,15848.05,Buprenorphine
2016,FFSU,ID,47,27804.99,Buprenorphine
2016,FFSU,ID,48,25986.06,Buprenorphine
2016,FFSU,ID,49,28562.02,Buprenorphine
2016,FFSU,ID,51,30297.03,Buprenorphine
2016,FFSU,ID,53,17821.25,Buprenorphine
2016,FFSU,ID,56,18879.29,Buprenorphine
2016,FFSU,ID,443,168503.91,Buprenorphine
2016,FFSU,ID,491,180529.5,Buprenorphine
2016,FFSU,ID,614,208273.52,Buprenorphine
2016,FFSU,ID,844,236276.71,Buprenorphine
2016,FFSU,KY,11,3500.26,Buprenorphine
2016,FFSU,KY,22,5284.56,Buprenorphine
2016,FFSU,KY,33,5874.46,Buprenorphine
2016,FFSU,KY,38,7060.56,Buprenorphine
2016,FFSU,LA,13,2438.06,Buprenorphine
2016,FFSU,LA,16,5758.5,Buprenorphine
2016,FFSU,LA,17,5243.99,Buprenorphine
2016,FFSU,LA,18,6177.81,Buprenorphine
2016,FFSU,LA,21,7188.43,Buprenorphine
2016,FFSU,LA,21,8096.27,Buprenorphine
2016,FFSU,LA,25,10128.76,Buprenorphine
2016,FFSU,ME,22,6244.29,Buprenorphine
2016,FFSU,ME,28,12529.68,Buprenorphine
2016,FFSU,ME,32,4753.22,Buprenorphine
2016,FFSU,ME,34,18634.46,Buprenorphine
2016,FFSU,ME,40,8161.42,Buprenorphine
2016,FFSU,ME,40,8599.36,Buprenorphine
2016,FFSU,ME,42,8630.85,Buprenorphine
2016,FFSU,ME,45,20933.85,Buprenorphine
2016,FFSU,ME,47,10006.54,Buprenorphine
2016,FFSU,ME,53,24068.32,Buprenorphine
2016,FFSU,ME,63,26717.06,Buprenorphine
2016,FFSU,ME,69,40871.92,Buprenorphine
2016,FFSU,ME,75,23225.32,Buprenorphine
2016,FFSU,ME,79,25764.28,Buprenorphine
2016,FFSU,ME,83,26875.37,Buprenorphine
2016,FFSU,ME,97,54109.6,Buprenorphine
2016,FFSU,ME,101,33534.88,Buprenorphine
2016,FFSU,ME,104,62509.08,Buprenorphine
2016,FFSU,ME,403,61177.51,Buprenorphine
2016,FFSU,ME,489,66826.65,Buprenorphine
2016,FFSU,ME,520,75527,Buprenorphine
2016,FFSU,ME,561,75711.12,Buprenorphine
2016,FFSU,ME,956,168644.73,Buprenorphine
2016,FFSU,ME,1224,199533.67,Buprenorphine
2016,FFSU,ME,1240,213387.27,Buprenorphine
2016,FFSU,ME,1254,197060.9,Buprenorphine
2016,FFSU,ME,1386,132639.72,Buprenorphine
2016,FFSU,ME,1396,133863.43,Buprenorphine
2016,FFSU,ME,1399,128148.97,Buprenorphine
2016,FFSU,ME,1526,136816.73,Buprenorphine
2016,FFSU,ME,12018,2023873.33,Buprenorphine
2016,FFSU,ME,12386,2135746.6,Buprenorphine
2016,FFSU,ME,12482,2153172.16,Buprenorphine
2016,FFSU,ME,13814,2301531.39,Buprenorphine
2016,FFSU,MI,12,4469.4,Buprenorphine
2016,FFSU,MI,13,4969.21,Buprenorphine
2016,FFSU,MI,14,6232.09,Buprenorphine
2016,FFSU,MI,19,3641.17,Buprenorphine
2016,FFSU,MI,21,4536,Buprenorphine
2016,FFSU,MI,21,5384.33,Buprenorphine
2016,FFSU,MI,22,3044.05,Buprenorphine
2016,FFSU,MI,22,3140.25,Buprenorphine
2016,FFSU,MI,22,3289.87,Buprenorphine
2016,FFSU,MI,23,4977.42,Buprenorphine
2016,FFSU,MI,24,3791.71,Buprenorphine
2016,FFSU,MI,31,7675.79,Buprenorphine
2016,FFSU,MI,35,12001.31,Buprenorphine
2016,FFSU,MI,37,11106.89,Buprenorphine
2016,FFSU,MI,41,7529.97,Buprenorphine
2016,FFSU,MI,66,18929.18,Buprenorphine
2016,FFSU,MI,103,33792.44,Buprenorphine
2016,FFSU,MI,104,37203.13,Buprenorphine
2016,FFSU,MI,139,30931.6,Buprenorphine
2016,FFSU,MI,145,35304.42,Buprenorphine
2016,FFSU,MI,173,64820.75,Buprenorphine
2016,FFSU,MI,210,89945.35,Buprenorphine
2016,FFSU,MI,252,80187.04,Buprenorphine
2016,FFSU,MI,283,87479.8,Buprenorphine
2016,FFSU,MI,357,100996.71,Buprenorphine
2016,FFSU,MI,359,93496.52,Buprenorphine
2016,FFSU,MI,545,54417.41,Buprenorphine
2016,FFSU,MI,561,99089.21,Buprenorphine
2016,FFSU,MI,602,55525.67,Buprenorphine
2016,FFSU,MI,602,97686.55,Buprenorphine
2016,FFSU,MI,736,105766.09,Buprenorphine
2016,FFSU,MI,761,235053.12,Buprenorphine
2016,FFSU,MI,892,67682.11,Buprenorphine
2016,FFSU,MI,896,259721.84,Buprenorphine
2016,FFSU,MI,963,129668.21,Buprenorphine
2016,FFSU,MI,1059,277943.67,Buprenorphine
2016,FFSU,MI,1083,74749.95,Buprenorphine
2016,FFSU,MI,1338,368784.21,Buprenorphine
2016,FFSU,MI,10400,2971069.01,Buprenorphine
2016,FFSU,MI,11329,3205863.87,Buprenorphine
2016,FFSU,MI,11778,3446501.51,Buprenorphine
2016,FFSU,MI,13323,3943110.17,Buprenorphine
2016,FFSU,MN,12,2555.86,Buprenorphine
2016,FFSU,MN,58,17659.15,Buprenorphine
2016,FFSU,MN,61,28207.18,Buprenorphine
2016,FFSU,MN,65,29222.77,Buprenorphine
2016,FFSU,MN,66,27660.37,Buprenorphine
2016,FFSU,MN,68,27849.85,Buprenorphine
2016,FFSU,MN,84,21161.1,Buprenorphine
2016,FFSU,MN,87,25003.74,Buprenorphine
2016,FFSU,MN,93,27199.61,Buprenorphine
2016,FFSU,MN,105,16993.83,Buprenorphine
2016,FFSU,MN,108,14954.64,Buprenorphine
2016,FFSU,MN,148,27302.75,Buprenorphine
2016,FFSU,MN,175,28946.53,Buprenorphine
2016,FFSU,MN,808,237214.94,Buprenorphine
2016,FFSU,MN,905,298673.62,Buprenorphine
2016,FFSU,MN,910,290006.3,Buprenorphine
2016,FFSU,MN,1128,343355.94,Buprenorphine
2016,FFSU,MO,25,5801.77,Buprenorphine
2016,FFSU,MO,26,8843.56,Buprenorphine
2016,FFSU,MO,28,9073.82,Buprenorphine
2016,FFSU,MO,30,13507.59,Buprenorphine
2016,FFSU,MO,36,9894.71,Buprenorphine
2016,FFSU,MO,39,13658.88,Buprenorphine
2016,FFSU,MO,42,11005.96,Buprenorphine
2016,FFSU,MO,45,15412.56,Buprenorphine
2016,FFSU,MO,53,18987.06,Buprenorphine
2016,FFSU,MO,62,22344.91,Buprenorphine
2016,FFSU,MO,64,10625.13,Buprenorphine
2016,FFSU,MO,67,23555.81,Buprenorphine
2016,FFSU,MO,111,32397.58,Buprenorphine
2016,FFSU,MO,117,34028.12,Buprenorphine
2016,FFSU,MO,127,55889.57,Buprenorphine
2016,FFSU,MO,131,33758.26,Buprenorphine
2016,FFSU,MO,132,68436.12,Buprenorphine
2016,FFSU,MO,141,38150.57,Buprenorphine
2016,FFSU,MO,143,82050.05,Buprenorphine
2016,FFSU,MO,144,70295.24,Buprenorphine
2016,FFSU,MO,167,89796.06,Buprenorphine
2016,FFSU,MO,169,86616.3,Buprenorphine
2016,FFSU,MO,170,92472.71,Buprenorphine
2016,FFSU,MO,185,91202.27,Buprenorphine
2016,FFSU,MO,204,33243.69,Buprenorphine
2016,FFSU,MO,226,35832,Buprenorphine
2016,FFSU,MO,232,34814.83,Buprenorphine
2016,FFSU,MO,239,40872.07,Buprenorphine
2016,FFSU,MO,242,146178.61,Buprenorphine
2016,FFSU,MO,248,161528.92,Buprenorphine
2016,FFSU,MO,249,159709.55,Buprenorphine
2016,FFSU,MO,267,96417.37,Buprenorphine
2016,FFSU,MO,289,185282.12,Buprenorphine
2016,FFSU,MO,311,74771.03,Buprenorphine
2016,FFSU,MO,321,109874.38,Buprenorphine
2016,FFSU,MO,326,120738.19,Buprenorphine
2016,FFSU,MO,329,123904.92,Buprenorphine
2016,FFSU,MO,366,89418.06,Buprenorphine
2016,FFSU,MO,487,134644.4,Buprenorphine
2016,FFSU,MO,512,126678.49,Buprenorphine
2016,FFSU,MO,3428,1039046.58,Buprenorphine
2016,FFSU,MO,3614,1085236.04,Buprenorphine
2016,FFSU,MO,4049,1239321.02,Buprenorphine
2016,FFSU,MO,4111,1257046.12,Buprenorphine
2016,FFSU,NC,17,4397.37,Buprenorphine
2016,FFSU,NC,18,8483.41,Buprenorphine
2016,FFSU,NC,19,582.88,Buprenorphine
2016,FFSU,NC,19,7336.21,Buprenorphine
2016,FFSU,NC,20,4508.98,Buprenorphine
2016,FFSU,NC,31,13768.4,Buprenorphine
2016,FFSU,NC,32,14044.13,Buprenorphine
2016,FFSU,NC,38,8343.34,Buprenorphine
2016,FFSU,NC,45,16768.7,Buprenorphine
2016,FFSU,NC,48,8162.66,Buprenorphine
2016,FFSU,NC,50,9965.62,Buprenorphine
2016,FFSU,NC,54,14476.43,Buprenorphine
2016,FFSU,NC,62,18164.04,Buprenorphine
2016,FFSU,NC,64,21079,Buprenorphine
2016,FFSU,NC,76,16011.24,Buprenorphine
2016,FFSU,NC,76,24161.54,Buprenorphine
2016,FFSU,NC,107,33112.31,Buprenorphine
2016,FFSU,NC,109,32863.72,Buprenorphine
2016,FFSU,NC,139,36242.09,Buprenorphine
2016,FFSU,NC,163,47583.74,Buprenorphine
2016,FFSU,NC,181,37594.32,Buprenorphine
2016,FFSU,NC,187,83767.51,Buprenorphine
2016,FFSU,NC,199,61149.56,Buprenorphine
2016,FFSU,NC,205,123100.62,Buprenorphine
2016,FFSU,NC,215,120502.54,Buprenorphine
2016,FFSU,NC,222,50123.33,Buprenorphine
2016,FFSU,NC,234,50587.79,Buprenorphine
2016,FFSU,NC,241,139094.77,Buprenorphine
2016,FFSU,NC,254,151355.33,Buprenorphine
2016,FFSU,NC,259,121675.27,Buprenorphine
2016,FFSU,NC,262,127448.93,Buprenorphine
2016,FFSU,NC,266,59223.68,Buprenorphine
2016,FFSU,NC,287,75314.47,Buprenorphine
2016,FFSU,NC,303,146901.54,Buprenorphine
2016,FFSU,NC,305,86901.32,Buprenorphine
2016,FFSU,NC,341,88887.65,Buprenorphine
2016,FFSU,NC,405,130484.76,Buprenorphine
2016,FFSU,NC,406,48848.51,Buprenorphine
2016,FFSU,NC,414,48947.15,Buprenorphine
2016,FFSU,NC,440,155619.03,Buprenorphine
2016,FFSU,NC,442,145266.82,Buprenorphine
2016,FFSU,NC,443,50084.19,Buprenorphine
2016,FFSU,NC,499,166975.43,Buprenorphine
2016,FFSU,NC,532,266195.95,Buprenorphine
2016,FFSU,NC,533,63795.61,Buprenorphine
2016,FFSU,NC,601,228018.77,Buprenorphine
2016,FFSU,NC,621,259166.83,Buprenorphine
2016,FFSU,NC,659,181007.48,Buprenorphine
2016,FFSU,NC,682,155717.14,Buprenorphine
2016,FFSU,NC,685,176585,Buprenorphine
2016,FFSU,NC,739,293577.83,Buprenorphine
2016,FFSU,NC,843,192840.93,Buprenorphine
2016,FFSU,NC,17187,4640013.38,Buprenorphine
2016,FFSU,NC,17872,4932489.73,Buprenorphine
2016,FFSU,NC,19759,4768722.15,Buprenorphine
2016,FFSU,NC,21174,5385056.33,Buprenorphine
2016,FFSU,NH,15,2210.89,Buprenorphine
2016,FFSU,NH,16,1037.78,Buprenorphine
2016,FFSU,NH,16,1592.63,Buprenorphine
2016,FFSU,NH,19,1634.09,Buprenorphine
2016,FFSU,NH,19,1709.31,Buprenorphine
2016,FFSU,NH,25,5748.8,Buprenorphine
2016,FFSU,NH,31,3546.95,Buprenorphine
2016,FFSU,NH,35,3489.28,Buprenorphine
2016,FFSU,NH,50,5913.16,Buprenorphine
2016,FFSU,NH,467,60817.4,Buprenorphine
2016,FFSU,NH,529,63767.45,Buprenorphine
2016,FFSU,NH,718,97985.91,Buprenorphine
2016,FFSU,NH,968,122454.18,Buprenorphine
2016,FFSU,SC,12,4081.36,Buprenorphine
2016,FFSU,SC,13,3754.49,Buprenorphine
2016,FFSU,SC,186,41762.45,Buprenorphine
2016,FFSU,SC,197,45410.55,Buprenorphine
2016,FFSU,SC,211,52132.54,Buprenorphine
2016,FFSU,SC,230,53889.34,Buprenorphine
2016,FFSU,TN,16,3647.81,Buprenorphine
2016,FFSU,TN,45,8533.37,Buprenorphine
2016,FFSU,TN,57,23215.05,Buprenorphine
2016,FFSU,TN,64,11156.07,Buprenorphine
2016,FFSU,TN,69,13725.99,Buprenorphine
2016,FFSU,TN,69,25467.31,Buprenorphine
2016,FFSU,TN,76,26113.67,Buprenorphine
2016,FFSU,TN,77,27035.98,Buprenorphine
2016,FFSU,TN,172,30154.15,Buprenorphine
2016,FFSU,TN,212,37656.93,Buprenorphine
2016,FFSU,TN,232,41475.2,Buprenorphine
2016,FFSU,TN,249,37896.52,Buprenorphine
2016,FFSU,TN,5223,1016888.21,Buprenorphine
2016,FFSU,TN,5675,1103240.42,Buprenorphine
2016,FFSU,TN,6945,1338340.63,Buprenorphine
2016,FFSU,TN,7804,1444269.24,Buprenorphine
2016,FFSU,WV,13,6266.22,Buprenorphine
2016,FFSU,WV,15,4244.96,Buprenorphine
2016,FFSU,WV,15,4827.15,Buprenorphine
2016,FFSU,WV,16,9353.77,Buprenorphine
2016,FFSU,WV,19,3917.78,Buprenorphine
2016,FFSU,WV,19,4206.25,Buprenorphine
2016,FFSU,WV,19,4213.05,Buprenorphine
2016,FFSU,WV,22,7335.48,Buprenorphine
2016,FFSU,WV,22,10914.08,Buprenorphine
2016,FFSU,WV,25,12401,Buprenorphine
2016,FFSU,WV,31,10596.22,Buprenorphine
2016,FFSU,WV,33,10925.78,Buprenorphine
2016,FFSU,WV,49,5474.01,Buprenorphine
2016,FFSU,WV,52,4794.45,Buprenorphine
2016,FFSU,WV,64,10750.88,Buprenorphine
2016,FFSU,WV,79,12945.77,Buprenorphine
2016,FFSU,WV,85,5210.25,Buprenorphine
2016,FFSU,WV,89,5482.73,Buprenorphine
2016,FFSU,WV,90,12041.66,Buprenorphine
2016,FFSU,WV,91,6245.36,Buprenorphine
2016,FFSU,WV,99,5350.61,Buprenorphine
2016,FFSU,WV,101,6498.32,Buprenorphine
2016,FFSU,WV,154,19214.15,Buprenorphine
2016,FFSU,WV,160,9250.38,Buprenorphine
2016,FFSU,WV,4061,545114.55,Buprenorphine
2016,FFSU,WV,4447,613536.24,Buprenorphine
2016,FFSU,WV,4459,609394.92,Buprenorphine
2016,FFSU,WY,18,10424.66,Buprenorphine
2016,FFSU,WY,20,4874.71,Buprenorphine
2016,FFSU,WY,44,7163.74,Buprenorphine
2016,FFSU,WY,85,18143.93,Buprenorphine
2016,FFSU,WY,111,22832.16,Buprenorphine
2016,MCOU,AZ,20,2264.47,Buprenorphine
2016,MCOU,AZ,21,965.08,Buprenorphine
2016,MCOU,AZ,22,4932.88,Buprenorphine
2016,MCOU,AZ,23,2018.99,Buprenorphine
2016,MCOU,AZ,26,12147.8,Buprenorphine
2016,MCOU,AZ,28,5885.23,Buprenorphine
2016,MCOU,AZ,30,13434.37,Buprenorphine
2016,MCOU,AZ,32,6585.38,Buprenorphine
2016,MCOU,AZ,33,1927.64,Buprenorphine
2016,MCOU,AZ,33,6399.74,Buprenorphine
2016,MCOU,AZ,33,11514.79,Buprenorphine
2016,MCOU,AZ,34,14606.92,Buprenorphine
2016,MCOU,AZ,38,15623.07,Buprenorphine
2016,MCOU,AZ,43,24274.36,Buprenorphine
2016,MCOU,AZ,47,26180.46,Buprenorphine
2016,MCOU,AZ,48,24311.4,Buprenorphine
2016,MCOU,AZ,54,17626.47,Buprenorphine
2016,MCOU,AZ,55,14883.3,Buprenorphine
2016,MCOU,AZ,58,16585.3,Buprenorphine
2016,MCOU,AZ,60,17589.01,Buprenorphine
2016,MCOU,AZ,64,30362.26,Buprenorphine
2016,MCOU,AZ,143,22105.07,Buprenorphine
2016,MCOU,AZ,144,16533.9,Buprenorphine
2016,MCOU,AZ,231,64262.22,Buprenorphine
2016,MCOU,AZ,266,58839.04,Buprenorphine
2016,MCOU,AZ,1095,83352.16,Buprenorphine
2016,MCOU,AZ,1118,81631.26,Buprenorphine
2016,MCOU,AZ,5357,1026402.48,Buprenorphine
2016,MCOU,AZ,6931,1315966.39,Buprenorphine
2016,MCOU,CO,13,1911.83,Buprenorphine
2016,MCOU,CO,20,2292.09,Buprenorphine
2016,MCOU,CO,21,2846.16,Buprenorphine
2016,MCOU,CO,185,61045.08,Buprenorphine
2016,MCOU,CO,212,69062.89,Buprenorphine
2016,MCOU,CO,228,76284.56,Buprenorphine
2016,MCOU,CO,262,91607.42,Buprenorphine
2016,MCOU,FL,15,5767.23,Buprenorphine
2016,MCOU,FL,16,6514.21,Buprenorphine
2016,MCOU,FL,16,8891.92,Buprenorphine
2016,MCOU,FL,28,17791.62,Buprenorphine
2016,MCOU,FL,29,11160.47,Buprenorphine
2016,MCOU,FL,33,9283.44,Buprenorphine
2016,MCOU,FL,34,10349.26,Buprenorphine
2016,MCOU,FL,41,19060.66,Buprenorphine
2016,MCOU,FL,41,24887.86,Buprenorphine
2016,MCOU,FL,54,31542.71,Buprenorphine
2016,MCOU,FL,59,13207.02,Buprenorphine
2016,MCOU,FL,64,28205.3,Buprenorphine
2016,MCOU,FL,65,15855.62,Buprenorphine
2016,MCOU,FL,65,16526.65,Buprenorphine
2016,MCOU,FL,68,20344.95,Buprenorphine
2016,MCOU,FL,68,36254.38,Buprenorphine
2016,MCOU,FL,75,11114.31,Buprenorphine
2016,MCOU,FL,75,11461.31,Buprenorphine
2016,MCOU,FL,76,14132.01,Buprenorphine
2016,MCOU,FL,79,24759.71,Buprenorphine
2016,MCOU,FL,83,12198.07,Buprenorphine
2016,MCOU,FL,127,38843.3,Buprenorphine
2016,MCOU,FL,145,28715.44,Buprenorphine
2016,MCOU,FL,145,82989.53,Buprenorphine
2016,MCOU,FL,153,70594.38,Buprenorphine
2016,MCOU,FL,156,50026.37,Buprenorphine
2016,MCOU,FL,171,36532.96,Buprenorphine
2016,MCOU,FL,188,89396.51,Buprenorphine
2016,MCOU,FL,192,60522.25,Buprenorphine
2016,MCOU,FL,199,60497.07,Buprenorphine
2016,MCOU,FL,211,123245.58,Buprenorphine
2016,MCOU,FL,227,72677.08,Buprenorphine
2016,MCOU,FL,228,49568.49,Buprenorphine
2016,MCOU,FL,230,109320.81,Buprenorphine
2016,MCOU,FL,247,75214.41,Buprenorphine
2016,MCOU,FL,258,56139.75,Buprenorphine
2016,MCOU,FL,316,183720.39,Buprenorphine
2016,MCOU,FL,449,143178.23,Buprenorphine
2016,MCOU,FL,595,195963.72,Buprenorphine
2016,MCOU,FL,682,222319.43,Buprenorphine
2016,MCOU,FL,3714,1197903.33,Buprenorphine
2016,MCOU,FL,3989,1317969.37,Buprenorphine
2016,MCOU,FL,4156,1334607.65,Buprenorphine
2016,MCOU,FL,4697,1551624.29,Buprenorphine
2016,MCOU,KY,14,2733.26,Buprenorphine
2016,MCOU,KY,16,3617.49,Buprenorphine
2016,MCOU,KY,21,9284.4,Buprenorphine
2016,MCOU,KY,25,5576.82,Buprenorphine
2016,MCOU,KY,27,13157.24,Buprenorphine
2016,MCOU,KY,31,18598.85,Buprenorphine
2016,MCOU,KY,32,15626.68,Buprenorphine
2016,MCOU,KY,34,4866.45,Buprenorphine
2016,MCOU,KY,35,6180.64,Buprenorphine
2016,MCOU,KY,35,19189.06,Buprenorphine
2016,MCOU,KY,37,13165.83,Buprenorphine
2016,MCOU,KY,40,23927.3,Buprenorphine
2016,MCOU,KY,43,21039.03,Buprenorphine
2016,MCOU,KY,48,8959.89,Buprenorphine
2016,MCOU,KY,51,7559.13,Buprenorphine
2016,MCOU,KY,51,15779.08,Buprenorphine
2016,MCOU,KY,57,9877.21,Buprenorphine
2016,MCOU,KY,58,6288.61,Buprenorphine
2016,MCOU,KY,66,22263.68,Buprenorphine
2016,MCOU,KY,71,6298.23,Buprenorphine
2016,MCOU,KY,72,12269.35,Buprenorphine
2016,MCOU,KY,77,10666.91,Buprenorphine
2016,MCOU,KY,78,20378.28,Buprenorphine
2016,MCOU,KY,79,15033.06,Buprenorphine
2016,MCOU,KY,81,26853.33,Buprenorphine
2016,MCOU,KY,94,31520.69,Buprenorphine
2016,MCOU,KY,95,10452.46,Buprenorphine
2016,MCOU,KY,100,37603.16,Buprenorphine
2016,MCOU,KY,113,9776.01,Buprenorphine
2016,MCOU,KY,113,25643.23,Buprenorphine
2016,MCOU,KY,117,24167.11,Buprenorphine
2016,MCOU,KY,126,13300.67,Buprenorphine
2016,MCOU,KY,158,12378.79,Buprenorphine
2016,MCOU,KY,158,26236.41,Buprenorphine
2016,MCOU,KY,159,16487.62,Buprenorphine
2016,MCOU,KY,175,66958.88,Buprenorphine
2016,MCOU,KY,191,69308.07,Buprenorphine
2016,MCOU,KY,202,25601.04,Buprenorphine
2016,MCOU,KY,248,15004.38,Buprenorphine
2016,MCOU,KY,412,67589.37,Buprenorphine
2016,MCOU,KY,425,66203.08,Buprenorphine
2016,MCOU,KY,456,72682.28,Buprenorphine
2016,MCOU,KY,562,92206.63,Buprenorphine
2016,MCOU,KY,2949,221571.38,Buprenorphine
2016,MCOU,KY,3672,267378.66,Buprenorphine
2016,MCOU,KY,4132,297256.04,Buprenorphine
2016,MCOU,KY,4411,315176.37,Buprenorphine
2016,MCOU,KY,20465,2976411.79,Buprenorphine
2016,MCOU,KY,20528,2952873.83,Buprenorphine
2016,MCOU,KY,22080,3197312.89,Buprenorphine
2016,MCOU,KY,22489,3479688.55,Buprenorphine
2016,MCOU,KY,32415,7248424.64,Buprenorphine
2016,MCOU,KY,36640,7299235.23,Buprenorphine
2016,MCOU,KY,40654,7109759.59,Buprenorphine
2016,MCOU,KY,46508,7673845.33,Buprenorphine
2016,MCOU,LA,12,7165.55,Buprenorphine
2016,MCOU,LA,13,4397.02,Buprenorphine
2016,MCOU,LA,14,8382.2,Buprenorphine
2016,MCOU,LA,19,4886.49,Buprenorphine
2016,MCOU,LA,19,12755.09,Buprenorphine
2016,MCOU,LA,20,13169.31,Buprenorphine
2016,MCOU,LA,21,5905.03,Buprenorphine
2016,MCOU,LA,27,9001.6,Buprenorphine
2016,MCOU,LA,27,9950.49,Buprenorphine
2016,MCOU,LA,33,20911.13,Buprenorphine
2016,MCOU,LA,38,23601.29,Buprenorphine
2016,MCOU,LA,39,8538.4,Buprenorphine
2016,MCOU,LA,40,13584.63,Buprenorphine
2016,MCOU,LA,53,9318.72,Buprenorphine
2016,MCOU,LA,64,16764.77,Buprenorphine
